,codcidade,cidade
0,1,Rio de Janeiro
1,2,São Paulo
2,3,Rio Grande do Sul
3,4,Espirito Santo
4,5,Goiás
5,6,Distrito Federal
6,7,Bahia
7,8,Rio Grande do Norte
8,9,Sergipe
9,10,Minas Gerais
10,11,Paraná
11,12,Santa Catarina
12,29,Pará
